,round_log_date,round_departure_date,Route,Price,AL
150,2018-08-25,2018-08-27,THRMHD,4024000,1
151,2018-08-25,2018-08-28,THRMHD,4024000,1
152,2018-08-25,2018-08-29,THRMHD,4384000,1
153,2018-08-25,2018-08-31,THRMHD,3378000,1
154,2018-08-25,2018-09-01,THRMHD,3176000,1
155,2018-08-25,2018-09-02,MHDTHR,4024000,1
156,2018-08-25,2018-09-03,MHDTHR,3663000,1
157,2018-08-25,2018-09-03,THRMHD,4024000,1
158,2018-08-25,2018-09-04,MHDTHR,4024000,1
159,2018-08-26,2018-08-26,THRMHD,1776000,1
160,2018-08-26,2018-08-27,MHDTHR,3378000,1
161,2018-08-26,2018-08-27,THRMHD,3176000,1
162,2018-08-26,2018-08-28,MHDTHR,4384000,1
163,2018-08-26,2018-08-28,THRMHD,4384000,1
164,2018-08-26,2018-08-29,MHDTHR,4744000,1
165,2018-08-26,2018-08-29,THRMHD,4024000,1
166,2018-08-26,2018-08-30,THRMHD,4024000,1
167,2018-08-26,2018-09-01,THRMHD,3378000,1
168,2018-08-26,2018-09-02,THRMHD,2826000,1
169,2018-08-26,2018-09-03,MHDTHR,3378000,1
170,2018-08-26,2018-09-05,THRMHD,3663000,1
171,2018-08-26,2018-09-06,MHDTHR,3663000,1
172,2018-08-26,2018-09-07,MHDTHR,4024000,1
173,2018-08-26,2018-09-07,THRMHD,3663000,1
174,2018-08-26,2018-09-08,THRMHD,4024000,1
175,2018-08-26,2018-09-09,THRMHD,4024000,1
176,2018-08-26,2018-09-12,MHDTHR,4024000,1
177,2018-08-26,2018-09-13,MHDTHR,4024000,1
178,2018-08-26,2018-09-15,THRMHD,4024000,1
179,2018-08-26,2018-09-16,MHDTHR,4024000,1
180,2018-08-26,2018-09-16,THRMHD,4024000,1
181,2018-08-26,2018-09-19,MHDTHR,4024000,1
182,2018-08-26,2018-09-20,MHDTHR,4024000,1
183,2018-08-26,2018-09-21,MHDTHR,4024000,1
184,2018-08-27,2018-08-27,THRMHD,2826000,1
185,2018-08-27,2018-08-28,THRMHD,4024000,1
186,2018-08-27,2018-08-29,MHDTHR,3663000,1
187,2018-08-27,2018-08-29,THRMHD,3663000,1
188,2018-08-27,2018-08-30,MHDTHR,3663000,1
189,2018-08-27,2018-08-30,THRMHD,4024000,1
190,2018-08-27,2018-08-31,MHDTHR,4744000,1
191,2018-08-27,2018-08-31,THRMHD,2624000,1
192,2018-08-27,2018-09-01,THRMHD,4024000,1
193,2018-08-27,2018-09-02,MHDTHR,5465000,1
194,2018-08-27,2018-09-02,THRMHD,4384000,1
195,2018-08-27,2018-09-03,MHDTHR,5465000,1
196,2018-08-27,2018-09-03,THRMHD,6356000,1
197,2018-08-27,2018-09-04,MHDTHR,4024000,1
198,2018-08-27,2018-09-04,THRMHD,6356000,1
199,2018-08-27,2018-09-19,MHDTHR,4024000,1
200,2018-08-27,2018-09-20,THRMHD,4024000,1
201,2018-08-27,2018-09-21,THRMHD,4024000,1
202,2018-08-27,2018-09-22,THRMHD,4024000,1
203,2018-08-27,2018-09-23,THRMHD,4024000,1
204,2018-08-28,2018-08-28,THRMHD,2624000,1
205,2018-08-28,2018-08-30,MHDTHR,3378000,1
206,2018-08-28,2018-08-31,MHDTHR,3378000,1
207,2018-08-28,2018-08-31,THRMHD,3378000,1
208,2018-08-28,2018-09-01,THRMHD,3176000,1
209,2018-08-28,2018-09-02,MHDTHR,4024000,1
210,2018-08-28,2018-09-02,THRMHD,4024000,1
211,2018-08-28,2018-09-03,MHDTHR,3176000,1
212,2018-08-28,2018-09-03,THRMHD,2624000,1
213,2018-08-28,2018-09-04,THRMHD,3176000,1
214,2018-08-28,2018-09-05,MHDTHR,3663000,1
215,2018-08-28,2018-09-05,THRMHD,4024000,1
216,2018-08-28,2018-09-06,THRMHD,4024000,1
217,2018-08-28,2018-09-07,MHDTHR,3663000,1
218,2018-08-28,2018-09-07,THRMHD,3378000,1
219,2018-08-28,2018-09-08,THRMHD,3663000,1
220,2018-08-28,2018-09-18,MHDTHR,4024000,1
221,2018-08-28,2018-09-19,MHDTHR,4024000,1
224,2018-08-29,2018-08-29,MHDTHR,2826000,1
225,2018-08-29,2018-08-29,THRMHD,2624000,1
226,2018-08-29,2018-08-30,MHDTHR,2826000,1
227,2018-08-29,2018-08-31,MHDTHR,3378000,1
228,2018-08-29,2018-08-31,THRMHD,2445000,1
229,2018-08-29,2018-09-01,MHDTHR,3663000,1
230,2018-08-29,2018-09-01,THRMHD,2624000,1
231,2018-08-29,2018-09-02,MHDTHR,3378000,1
232,2018-08-29,2018-09-05,THRMHD,3663000,1
233,2018-08-29,2018-09-09,MHDTHR,4024000,1
234,2018-08-29,2018-09-09,THRMHD,4024000,1
235,2018-08-29,2018-09-11,THRMHD,4024000,1
236,2018-08-30,2018-08-30,MHDTHR,2275000,1
237,2018-08-30,2018-08-30,THRMHD,2445000,1
238,2018-08-30,2018-08-31,MHDTHR,2275000,1
239,2018-08-30,2018-08-31,THRMHD,1915000,1
240,2018-08-30,2018-09-01,MHDTHR,3176000,1
241,2018-08-30,2018-09-01,THRMHD,2275000,1
242,2018-08-31,2018-08-31,MHDTHR,2445000,1
243,2018-08-31,2018-09-01,THRMHD,2445000,1
244,2018-09-01,2018-09-01,MHDTHR,2445000,1
245,2018-09-01,2018-09-02,MHDTHR,3663000,1
246,2018-09-01,2018-09-02,THRMHD,3378000,1
247,2018-09-01,2018-09-03,THRMHD,2826000,1
248,2018-09-01,2018-09-05,MHDTHR,3378000,1
249,2018-09-01,2018-09-09,MHDTHR,3378000,1
250,2018-09-02,2018-09-02,MHDTHR,4024000,1
251,2018-09-02,2018-09-02,THRMHD,2624000,1
252,2018-09-02,2018-09-05,MHDTHR,3663000,1
253,2018-09-02,2018-09-06,MHDTHR,3663000,1
254,2018-09-02,2018-09-07,MHDTHR,4024000,1
255,2018-09-02,2018-09-07,THRMHD,3663000,1
256,2018-09-02,2018-09-09,THRMHD,3378000,1
257,2018-09-03,2018-09-03,THRMHD,3663000,1
258,2018-09-03,2018-09-10,MHDTHR,4024000,1
259,2018-09-03,2018-09-11,MHDTHR,4024000,1
260,2018-09-03,2018-09-11,THRMHD,3378000,1
261,2018-09-03,2018-09-12,MHDTHR,4024000,1
262,2018-09-03,2018-09-12,THRMHD,4024000,1
263,2018-09-03,2018-09-13,THRMHD,4024000,1
264,2018-09-03,2018-09-14,THRMHD,4024000,1
265,2018-09-03,2018-09-15,THRMHD,4024000,1
266,2018-09-03,2018-09-20,MHDTHR,4024000,1
267,2018-09-03,2018-09-22,THRMHD,4024000,1
268,2018-09-04,2018-09-04,THRMHD,3176000,1
269,2018-09-04,2018-09-05,MHDTHR,2624000,1
270,2018-09-04,2018-09-09,THRMHD,3663000,1
271,2018-09-04,2018-09-10,THRMHD,3378000,1
272,2018-09-04,2018-09-11,THRMHD,3378000,1
273,2018-09-04,2018-09-12,MHDTHR,3663000,1
274,2018-09-04,2018-09-12,THRMHD,3663000,1
275,2018-09-04,2018-09-13,MHDTHR,3378000,1
276,2018-09-04,2018-09-13,THRMHD,3663000,1
277,2018-09-04,2018-09-14,MHDTHR,3378000,1
278,2018-09-04,2018-09-14,THRMHD,3378000,1
279,2018-09-04,2018-09-15,MHDTHR,3663000,1
280,2018-09-04,2018-09-15,THRMHD,2826000,1
281,2018-09-04,2018-09-16,MHDTHR,3378000,1
282,2018-09-04,2018-09-16,THRMHD,3176000,1
283,2018-09-04,2018-09-17,MHDTHR,3663000,1
284,2018-09-04,2018-09-17,THRMHD,3663000,1
285,2018-09-04,2018-09-18,MHDTHR,3663000,1
286,2018-09-04,2018-09-18,THRMHD,3663000,1
287,2018-09-04,2018-09-20,THRMHD,4024000,1
288,2018-09-04,2018-09-22,THRMHD,4024000,1
290,2018-09-05,2018-09-07,MHDTHR,2445000,1
291,2018-09-05,2018-09-07,THRMHD,3176000,1
292,2018-09-05,2018-09-08,THRMHD,3663000,1
293,2018-09-05,2018-09-09,THRMHD,3176000,1
294,2018-09-05,2018-09-18,MHDTHR,3378000,1
295,2018-09-05,2018-09-18,THRMHD,3378000,1
296,2018-09-05,2018-09-19,MHDTHR,3176000,1
297,2018-09-05,2018-09-19,THRMHD,4024000,1
298,2018-09-05,2018-09-22,THRMHD,2826000,1
299,2018-09-05,2018-09-23,MHDTHR,3663000,1
300,2018-09-05,2018-09-24,MHDTHR,3663000,1
301,2018-09-05,2018-09-25,MHDTHR,3663000,1
302,2018-09-05,2018-09-26,MHDTHR,3663000,1
303,2018-09-06,2018-09-06,MHDTHR,3378000,1
304,2018-09-06,2018-09-07,MHDTHR,3176000,1
305,2018-09-06,2018-09-07,THRMHD,3663000,1
306,2018-09-06,2018-09-08,THRMHD,3378000,1
307,2018-09-06,2018-09-10,MHDTHR,2826000,1
308,2018-09-07,2018-09-08,MHDTHR,4290000,1
310,2018-09-08,2018-09-08,THRMHD,3378000,1
321,2018-09-09,2018-09-09,THRMHD,3176000,1
322,2018-09-09,2018-09-15,THRMHD,2624000,1
323,2018-09-09,2018-09-23,THRMHD,3663000,1
324,2018-09-09,2018-09-24,MHDTHR,3176000,1
325,2018-09-09,2018-09-24,THRMHD,3663000,1
326,2018-09-09,2018-09-25,MHDTHR,2826000,1
327,2018-09-09,2018-09-25,THRMHD,3663000,1
328,2018-09-09,2018-09-26,MHDTHR,2826000,1
329,2018-09-09,2018-09-26,THRMHD,3663000,1
330,2018-09-10,2018-09-10,THRMHD,3176000,1
331,2018-09-10,2018-09-11,THRMHD,3176000,1
332,2018-09-10,2018-09-15,THRMHD,2624000,1
333,2018-09-10,2018-09-16,MHDTHR,3176000,1
334,2018-09-10,2018-09-16,THRMHD,2624000,1
335,2018-09-11,2018-09-11,THRMHD,3176000,1
336,2018-09-11,2018-09-16,MHDTHR,3378000,1
337,2018-09-11,2018-09-16,THRMHD,3378000,1
338,2018-09-11,2018-09-17,MHDTHR,3378000,1
339,2018-09-11,2018-09-17,THRMHD,3176000,1
340,2018-09-11,2018-09-18,MHDTHR,2624000,1
341,2018-09-11,2018-09-18,THRMHD,3378000,1
342,2018-09-11,2018-09-19,MHDTHR,2624000,1
343,2018-09-11,2018-09-22,THRMHD,2624000,1
344,2018-09-11,2018-09-23,MHDTHR,4024000,1
346,2018-09-11,2018-09-23,THRMHD,3663000,1
356,2018-09-12,2018-09-12,MHDTHR,3176000,1
357,2018-09-12,2018-09-12,THRMHD,3663000,1
358,2018-09-12,2018-09-17,MHDTHR,3663000,1
359,2018-09-13,2018-09-13,MHDTHR,2094000,1
360,2018-09-13,2018-09-14,THRMHD,2826000,1
361,2018-09-13,2018-09-16,THRMHD,2624000,1
362,2018-09-13,2018-09-17,MHDTHR,2624000,1
363,2018-09-13,2018-09-17,THRMHD,3378000,1
364,2018-09-13,2018-09-18,MHDTHR,2826000,1
365,2018-09-13,2018-09-19,MHDTHR,2275000,1
366,2018-09-13,2018-09-22,THRMHD,2624000,1
367,2018-09-13,2018-09-23,MHDTHR,3378000,1
368,2018-09-13,2018-09-23,THRMHD,2826000,1
369,2018-09-13,2018-09-24,MHDTHR,3176000,1
370,2018-09-13,2018-09-24,THRMHD,2826000,1
371,2018-09-14,2018-09-14,THRMHD,2826000,1
372,2018-09-15,2018-09-15,THRMHD,1480000,1
373,2018-09-15,2018-09-18,THRMHD,3378000,1
374,2018-09-15,2018-09-23,THRMHD,2624000,1
375,2018-09-15,2018-09-24,MHDTHR,2624000,1
376,2018-09-15,2018-09-24,THRMHD,2445000,1
377,2018-09-15,2018-09-25,MHDTHR,2624000,1
378,2018-09-15,2018-09-25,THRMHD,2624000,1
379,2018-09-15,2018-09-26,MHDTHR,2624000,1
380,2018-09-15,2018-09-26,THRMHD,2624000,1
381,2018-09-16,2018-09-18,THRMHD,2094000,1
382,2018-09-16,2018-09-19,MHDTHR,2094000,1
383,2018-09-16,2018-09-22,THRMHD,1915000,1
384,2018-09-17,2018-09-17,MHDTHR,1776000,1
385,2018-09-17,2018-09-24,THRMHD,2445000,1
386,2018-09-18,2018-09-18,MHDTHR,2445000,1
387,2018-09-18,2018-09-19,MHDTHR,2275000,1
388,2018-09-18,2018-09-25,MHDTHR,2624000,1
389,2018-09-22,2018-09-24,THRMHD,2094000,1
390,2018-09-22,2018-09-26,MHDTHR,2445000,1
391,2018-09-22,2018-09-26,THRMHD,2445000,1
392,2018-09-23,2018-09-23,THRMHD,1915000,1
393,2018-09-23,2018-09-24,THRMHD,2275000,1
394,2018-09-23,2018-09-25,MHDTHR,2094000,1
395,2018-09-24,2018-09-24,THRMHD,2094000,1
396,2018-09-24,2018-09-26,MHDTHR,1915000,1
397,2018-09-25,2018-09-26,MHDTHR,2275000,1
398,2018-09-26,2018-09-26,MHDTHR,2445000,1
399,2018-09-27,2018-09-27,MHDTHR,2445000,1
402,2018-09-27,2018-09-28,MHDTHR,3176000,1
404,2018-09-27,2018-09-28,THRMHD,2275000,1
408,2018-09-27,2018-09-29,THRMHD,2445000,1
411,2018-09-27,2018-09-30,MHDTHR,3663000,1
413,2018-09-27,2018-09-30,THRMHD,3663000,1
416,2018-09-27,2018-10-01,MHDTHR,3663000,1
420,2018-09-27,2018-10-02,MHDTHR,2624000,1
422,2018-09-27,2018-10-02,THRMHD,2275000,1
424,2018-09-27,2018-10-03,MHDTHR,3663000,1
427,2018-09-27,2018-10-04,MHDTHR,3663000,1
429,2018-09-27,2018-10-04,THRMHD,3663000,1
434,2018-09-27,2018-10-06,THRMHD,2624000,1
436,2018-09-27,2018-10-07,MHDTHR,2826000,1
438,2018-09-27,2018-10-07,THRMHD,2624000,1
440,2018-09-27,2018-10-08,MHDTHR,3663000,1
442,2018-09-27,2018-10-08,THRMHD,3663000,1
444,2018-09-27,2018-10-09,MHDTHR,3663000,1
446,2018-09-27,2018-10-09,THRMHD,3663000,1
448,2018-09-27,2018-10-10,MHDTHR,2826000,1
451,2018-09-27,2018-10-11,MHDTHR,3663000,1
454,2018-09-27,2018-10-12,MHDTHR,3663000,1
457,2018-09-27,2018-10-13,THRMHD,3663000,1
459,2018-09-27,2018-10-14,MHDTHR,3663000,1
461,2018-09-27,2018-10-14,THRMHD,3663000,1
463,2018-09-27,2018-10-15,MHDTHR,3663000,1
465,2018-09-27,2018-10-15,THRMHD,3663000,1
467,2018-09-27,2018-10-16,MHDTHR,3176000,1
469,2018-09-27,2018-10-16,THRMHD,3663000,1
471,2018-09-27,2018-10-17,MHDTHR,3176000,1
474,2018-09-27,2018-10-18,MHDTHR,3663000,1
477,2018-09-27,2018-10-19,MHDTHR,3663000,1
479,2018-09-27,2018-10-19,THRMHD,3663000,1
482,2018-09-27,2018-10-20,THRMHD,3663000,1
485,2018-09-27,2018-10-21,THRMHD,3663000,1
487,2018-09-27,2018-10-22,MHDTHR,3663000,1
489,2018-09-27,2018-10-22,THRMHD,3663000,1
491,2018-09-27,2018-10-23,MHDTHR,3663000,1
493,2018-09-27,2018-10-23,THRMHD,3663000,1
495,2018-09-27,2018-10-24,MHDTHR,3663000,1
497,2018-09-27,2018-10-24,THRMHD,3663000,1
504,2018-09-28,2018-09-28,MHDTHR,2624000,1
505,2018-09-28,2018-09-29,THRMHD,4290000,1
506,2018-09-28,2018-10-07,THRMHD,2445000,1
507,2018-09-28,2018-10-09,MHDTHR,2826000,1
508,2018-09-28,2018-10-09,THRMHD,3176000,1
509,2018-09-28,2018-10-10,MHDTHR,2624000,1
510,2018-09-28,2018-10-11,MHDTHR,2826000,1
511,2018-09-28,2018-10-12,MHDTHR,2826000,1
512,2018-09-28,2018-10-12,THRMHD,2826000,1
513,2018-09-28,2018-10-13,THRMHD,2826000,1
516,2018-09-29,2018-10-01,MHDTHR,3663000,1
518,2018-09-30,2018-09-30,MHDTHR,3378000,1
520,2018-09-30,2018-10-01,MHDTHR,3176000,1
521,2018-09-30,2018-10-01,THRMHD,3378000,1
527,2018-10-01,2018-10-01,THRMHD,3663000,1
528,2018-10-01,2018-10-02,THRMHD,4024000,1
529,2018-10-01,2018-10-03,MHDTHR,2826000,1
530,2018-10-01,2018-10-13,THRMHD,2624000,1
531,2018-10-01,2018-10-14,THRMHD,2826000,1
532,2018-10-01,2018-10-15,THRMHD,2826000,1
533,2018-10-01,2018-10-16,MHDTHR,2826000,1
534,2018-10-01,2018-10-17,MHDTHR,2826000,1
535,2018-10-01,2018-10-19,THRMHD,2826000,1
536,2018-10-01,2018-10-20,THRMHD,2826000,1
537,2018-10-01,2018-10-21,THRMHD,2826000,1
538,2018-10-01,2018-10-22,THRMHD,2826000,1
539,2018-10-03,2018-10-03,MHDTHR,2826000,1
540,2018-10-03,2018-10-05,MHDTHR,3176000,1
545,2018-10-06,2018-10-07,MHDTHR,4024000,1
546,2018-10-06,2018-10-07,THRMHD,3378000,1
548,2018-10-07,2018-10-08,MHDTHR,3663000,1
549,2018-10-07,2018-10-08,THRMHD,2826000,1
550,2018-10-07,2018-10-09,MHDTHR,3176000,1
554,2018-10-07,2018-10-14,THRMHD,2445000,1
555,2018-10-07,2018-10-19,MHDTHR,3176000,1
556,2018-10-08,2018-10-08,MHDTHR,4024000,1
557,2018-10-08,2018-10-08,THRMHD,4024000,1
558,2018-10-08,2018-10-16,THRMHD,2826000,1
559,2018-10-08,2018-10-17,MHDTHR,2624000,1
560,2018-10-08,2018-10-20,THRMHD,2624000,1
561,2018-10-08,2018-10-21,THRMHD,2624000,1
562,2018-10-09,2018-10-09,MHDTHR,1915000,1
564,2018-10-09,2018-10-09,THRMHD,3176000,1
565,2018-10-09,2018-10-11,MHDTHR,2624000,1
566,2018-10-09,2018-10-14,THRMHD,2275000,1
582,2018-10-11,2018-10-14,THRMHD,2094000,1
583,2018-10-11,2018-10-15,THRMHD,2826000,1
584,2018-10-11,2018-10-16,MHDTHR,3378000,1
585,2018-10-12,2018-10-13,THRMHD,2445000,1
586,2018-10-13,2018-10-13,THRMHD,2275000,1
587,2018-10-13,2018-10-14,MHDTHR,3663000,1
588,2018-10-13,2018-10-21,THRMHD,2275000,1
590,2018-10-14,2018-10-19,THRMHD,2624000,1
592,2018-10-15,2018-10-15,MHDTHR,3176000,1
595,2018-10-15,2018-10-16,THRMHD,4024000,1
596,2018-10-15,2018-10-17,THRMHD,3378000,1
597,2018-10-15,2018-10-21,THRMHD,2094000,1
598,2018-10-17,2018-10-17,MHDTHR,2624000,1
603,2018-10-17,2018-10-22,THRMHD,2624000,1
604,2018-10-18,2018-10-18,MHDTHR,3176000,1
605,2018-10-18,2018-10-18,THRMHD,4290000,1
609,2018-10-19,2018-10-19,THRMHD,1618000,1
610,2018-10-19,2018-10-20,MHDTHR,4024000,1
611,2018-10-19,2018-10-20,THRMHD,2275000,1
612,2018-10-20,2018-10-20,MHDTHR,4290000,1
613,2018-10-20,2018-10-20,THRMHD,2445000,1
614,2018-10-20,2018-10-21,THRMHD,1618000,1
615,2018-10-20,2018-10-22,MHDTHR,3378000,1
616,2018-10-20,2018-10-22,THRMHD,2094000,1
617,2018-10-21,2018-10-21,MHDTHR,3378000,1
619,2018-10-21,2018-10-22,THRMHD,2826000,1
621,2018-10-21,2018-10-27,THRMHD,2275000,1
622,2018-10-22,2018-10-22,MHDTHR,3176000,1
625,2018-10-22,2018-10-23,THRMHD,2094000,1
628,2018-10-22,2018-10-25,THRMHD,3378000,1
642,2018-10-23,2018-10-23,MHDTHR,4290000,1
643,2018-10-23,2018-10-23,THRMHD,3378000,1
646,2018-10-23,2018-10-24,THRMHD,3378000,1
648,2018-10-23,2018-10-29,THRMHD,3378000,1
649,2018-10-23,2018-10-31,THRMHD,3176000,1
650,2018-10-23,2018-11-01,THRMHD,2826000,1
653,2018-10-24,2018-10-24,THRMHD,1618000,1
